u_eigen,i_eigen,b_eigen,ndcg,recall,precision
135,200,125,0.0656432152247105,0.09221074986655044,0.02704300355013731
110,200,350,0.0655376913420369,0.09207118835320857,0.026967646861812574
135,200,100,0.06552494547792213,0.09204184864500209,0.026996114944068585
60,200,400,0.06538470026303947,0.09200342041636239,0.026976019827182004
135,200,75,0.06533143996876312,0.09190713869914581,0.026934155000334924
110,200,325,0.06528038655086206,0.09175652086301443,0.02686214749815795
135,200,50,0.06511114644603037,0.09171753949327435,0.02686549668430572
85,200,375,0.06508032117572563,0.09152793453661022,0.026793489182128736
35,200,400,0.06506611170215491,0.09158855601634756,0.026843726974345238
110,200,300,0.06495700905677255,0.09126926189148393,0.026731529238395065
10,200,400,0.06493996340633573,0.09141131351129572,0.026795163775202618
110,200,275,0.06478853302621092,0.09095563727042105,0.02668296603925247
110,200,250,0.06472390062819464,0.09089055154179307,0.026661196329291988
110,200,225,0.06465764784779401,0.09073536357874581,0.026629379060888213
85,200,350,0.06461479683795783,0.09091859941899065,0.026587514234041126
110,200,200,0.06454337506388289,0.09063023703888486,0.02658583964096725
110,200,175,0.0644843923369504,0.0905888827309201,0.02656406993100677
60,200,375,0.06445610557482415,0.09070406391831658,0.026560720744859
110,200,150,0.06441868734463857,0.09045694842535258,0.026543974814120175
110,200,125,0.06439226948368036,0.0904735901902462,0.026543974814120172
110,200,100,0.06435951982369038,0.0904721743243977,0.026538951034898534
85,200,325,0.06426095017344104,0.09047172967240893,0.026476991091164845
110,200,75,0.06415785446961846,0.09032815557175856,0.026466943532721547
35,200,375,0.06410445302233668,0.09032378432434304,0.026435126264317772
10,200,375,0.06398552897421314,0.09015399381113294,0.026386563065175162
60,200,350,0.06397700861616872,0.090133469288898,0.02637316632058409
85,200,300,0.06396265916547254,0.09007542828650472,0.026358094982919158
110,200,50,0.06392366485149178,0.09004950974349511,0.026386563065175162
85,200,275,0.06383742826739797,0.08986814726463277,0.026324603121441498
85,200,250,0.06372138343000133,0.08972104394582987,0.026282738294594425
85,200,225,0.06363140586653966,0.08956272380354818,0.02624422265389511
60,200,325,0.06361213750599154,0.08961630630922895,0.026227476723156267
35,200,350,0.06358657390051978,0.08970261209528667,0.02623417509545179
85,200,200,0.06354509924964297,0.08951326825253192,0.026229151316230156
10,200,350,0.06346426312602926,0.08955121567504004,0.026195659454752503
85,200,175,0.06343865417080048,0.0893929705773232,0.026185611896309198
85,200,150,0.06336446145775244,0.08926037616440691,0.026168865965570366
85,200,100,0.06330922074513826,0.08929797979473145,0.026182262710161434
85,200,125,0.06330879675502869,0.08919625024918978,0.026150445441757656
35,200,325,0.06322381484007132,0.08916399340402034,0.02608178712572845
60,200,300,0.06318071988308119,0.0890226998939597,0.026058342822694085
10,200,325,0.063113953307025,0.08905126871937967,0.026048295264250784
85,200,75,0.0630684293568354,0.08909262106780268,0.026091834684171734
60,200,275,0.06301208055793098,0.08881222736318307,0.026003081251255937
